CODIGO;DESCRICAO;  CUSTO   
300520; AZUL MONO LAM 2955-C   ; 26,92 
300522; AZUL MONO LAM 2995-C  ; 18,30 
300524; AZUL MONO LAM 280-C  4/33 ; 31,48 
300525; AZUL MONO LAM 282-C  6/41 ; 26,28 
300526; AZUL MONO LAM 2718-C ; 18,78 
300528; AZUL MONO LAM 072-C  37 ; 49,43 
300529; AZUL MONO LAM DELLA NONNA -C ; 28,63 
300530; AZUL MONO LAM 2747-C 12/9 ; 30,78 
300531; AZUL MONO LAM 654-C  13/39 ; 20,94 
300532; AZUL MONO LAM 288-C  273 ; 32,05 
300533; AZUL MONO LAM 2758-C 11/5 ; 26,87 
300534; AZUL MONO LAM  286-C  3/22 ; 32,95 
300535; AZUL MONO LAM 2735-C  3/23 ; 48,39 
300536; AZUL MONO LAM 2767-C  16/28 ; 31,37 
300537; AZUL MONO LAM 312-C 10/21 ; 26,91 
300538; AZUL MONO LAM 2746-C  8/25 ; 45,96 
300539; AZUL LAM NAMORADO (P287)  3/28 ; 27,99 
300540; AZUL LAM 2736-C  141 ; 27,15 
300541; AZUL MONO LAM 3015-C  13/37 ; 27,11 
300542; AZUL MONO LAM 2756-C  106 ; 29,20 
300543; AZUL MONO LAM 3105-C ; 15,06 
300544; AZUL MONO LAM 301-C  3/31 ; 27,52 
300545; AZUL MONO LAM 296-C  4/5 ; 22,76 
300546; VERDE MONO LAM 342-C ; 25,66 
300547; AZUL MONO LAM 300-C  3/34 ; 24,28 
300548; AZUL MONO LAM 3125-C ; 18,95 
300549; AZUL MONO LAM AMELIA-C ; 24,26 
300550; AZUL MONO LAM 313-C ; 19,68 
300551; AZUL MONO LAM 295-C    ; 25,90 
300552; AZUL MONO LAM 2965-C  3/8 ; 22,03 
300553; AZUL MONO LAM 281-C  4/6 ; 33,22 
300554; AZUL MONO LAM 2945-C   9/3 ; 25,67 
300556; AZUL MONO LAM 290-C ; 13,84 
300557; AZUL LAM 2766-C  2/24 ; 28,79 
300558; AZUL MONO LAM 660-C ; 27,07 
300559; AZUL MONO LAM 2905-C  15/38 ; 20,28 
300560; AZUL MONO LAM 3005-C  2/31 ; 25,60 
300561; AZUL MONO LAM 2757-C  2/41 ; 37,23 
300562; AZUL MONO LAM 540-C   26/21 ; 27,21 
300563; AZUL MONO LAM 302-C  177 ; 28,89 
300564; AZUL MONO LAM 285-C  2/38 ; 21,52 
300566; AZUL MONO LAM 640-C ; 24,84 
300567; AZUL MONO LAM 294-C  ; 28,55 
300568; AZUL MONO LAM 2935-C  32 ; 23,22 
300569; AZUL LAM 2925-C HUBER 268 ; 24,50 
300570; AZUL LAM REFLEX BLUE-C  34 ; 44,74 
300571; ROSA LAM GIRANDO SOL(AM) ; 23,51 
300572; BORDO LAM PE TRANSP. 188-C 16/07 ; 19,49 
300573; VINHO MONO LAM 7420-C ; 24,49 
300574; BEGE MONO LAM 7502-C 28/27 ; 15,98 
300575; CREME MONO LAM BLUE VILLE-C ; 14,28 
300576; CREME MONO LAM DOMELLY-C ; 16,61 
300577; CINZA MONO LAM 427-C ; 13,97 
300578; CINZA LAM COOL GRAY 8-C ; 20,84 
